Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 202  , Iteration_time-> 1.4669 , Iteration_loss 0.1119
Iteration-> 203  , Iteration_time-> 1.5755 , Iteration_loss 0.1119
Iteration-> 204  , Iteration_time-> 1.5222 , Iteration_loss 0.1118
Iteration-> 205  , Iteration_time-> 1.4691 , Iteration_loss 0.1118
Iteration-> 206  , Iteration_time-> 1.5200 , Iteration_loss 0.1115
Iteration-> 207  , Iteration_time-> 1.4923 , Iteration_loss 0.1116
Iteration-> 208  , Iteration_time-> 1.5597 , Iteration_loss 0.1114
Iteration-> 209  , Iteration_time-> 1.5525 , Iteration_loss 0.1114
Iteration-> 210  , Iteration_time-> 1.5593 , Iteration_loss 0.1111
Iteration-> 211  , Iteration_time-> 1.5090 , Iteration_loss 0.1112
Iteration-> 212  , Iteration_time-> 1.5054 , Iteration_loss 0.1112
Iteration-> 213  , Iteration_time-> 1.5213 , Iteration_loss 0.1112
Iteration-> 214  , Iteration_time-> 1.5583 , Iteration_loss 0.1111
Iteration-> 215  , Iteration_time-> 1.5203 , Iteration_loss 0.1108
Iteration-> 216  , Iteration_time-> 1.5307 , Iteration_loss 0.1108
Iteration-> 217  , Iteration_time-> 1.5131 , Iteration_loss 0.1107
Iteration-> 218  , Iteration_time-> 1.5293 , Iteration_loss 0.1106
Iteration-> 219  , Iteration_time-> 1.5323 , Iteration_loss 0.1106
Iteration-> 220  , Iteration_time-> 1.4848 , Iteration_loss 0.1105
Iteration-> 221  , Iteration_time-> 1.4618 , Iteration_loss 0.1105
Iteration-> 222  , Iteration_time-> 1.5105 , Iteration_loss 0.1102
Iteration-> 223  , Iteration_time-> 1.5284 , Iteration_loss 0.1103
Iteration-> 224  , Iteration_time-> 1.4919 , Iteration_loss 0.1103
Iteration-> 225  , Iteration_time-> 1.7469 , Iteration_loss 0.1100
Iteration-> 226  , Iteration_time-> 1.5129 , Iteration_loss 0.1100
Iteration-> 227  , Iteration_time-> 1.5100 , Iteration_loss 0.1098
Iteration-> 228  , Iteration_time-> 1.5780 , Iteration_loss 0.1099
Iteration-> 229  , Iteration_time-> 1.5177 , Iteration_loss 0.1097
Iteration-> 230  , Iteration_time-> 1.5319 , Iteration_loss 0.1097
Iteration-> 231  , Iteration_time-> 1.5248 , Iteration_loss 0.1097
Iteration-> 232  , Iteration_time-> 1.5267 , Iteration_loss 0.1097
Iteration-> 233  , Iteration_time-> 1.4921 , Iteration_loss 0.1097
Iteration-> 234  , Iteration_time-> 1.4772 , Iteration_loss 0.1095
Iteration-> 235  , Iteration_time-> 1.4889 , Iteration_loss 0.1095
Iteration-> 236  , Iteration_time-> 1.5083 , Iteration_loss 0.1095
Iteration-> 237  , Iteration_time-> 1.5605 , Iteration_loss 0.1094
Iteration-> 238  , Iteration_time-> 1.5112 , Iteration_loss 0.1092
Iteration-> 239  , Iteration_time-> 1.5390 , Iteration_loss 0.1093
Iteration-> 240  , Iteration_time-> 1.4995 , Iteration_loss 0.1092
Iteration-> 241  , Iteration_time-> 1.6004 , Iteration_loss 0.1092
Iteration-> 242  , Iteration_time-> 1.5030 , Iteration_loss 0.1091
Iteration-> 243  , Iteration_time-> 1.4759 , Iteration_loss 0.1090
Iteration-> 244  , Iteration_time-> 1.5079 , Iteration_loss 0.1090
Iteration-> 245  , Iteration_time-> 1.5080 , Iteration_loss 0.1090
Iteration-> 246  , Iteration_time-> 1.5259 , Iteration_loss 0.1088
Iteration-> 247  , Iteration_time-> 1.5079 , Iteration_loss 0.1088
Iteration-> 248  , Iteration_time-> 1.5059 , Iteration_loss 0.1087
Iteration-> 249  , Iteration_time-> 1.5164 , Iteration_loss 0.1087
Iteration-> 250  , Iteration_time-> 1.5120 , Iteration_loss 0.1086
Iteration-> 251  , Iteration_time-> 1.4862 , Iteration_loss 0.1086
Iteration-> 252  , Iteration_time-> 1.5172 , Iteration_loss 0.1085
Iteration-> 253  , Iteration_time-> 1.4944 , Iteration_loss 0.1085
Iteration-> 254  , Iteration_time-> 1.5641 , Iteration_loss 0.1085
Iteration-> 255  , Iteration_time-> 1.5701 , Iteration_loss 0.1084
Iteration-> 256  , Iteration_time-> 1.5176 , Iteration_loss 0.1084
Iteration-> 257  , Iteration_time-> 1.5217 , Iteration_loss 0.1084
Iteration-> 258  , Iteration_time-> 1.4942 , Iteration_loss 0.1082
Iteration-> 259  , Iteration_time-> 1.5979 , Iteration_loss 0.1082
Iteration-> 260  , Iteration_time-> 1.5157 , Iteration_loss 0.1082
Iteration-> 261  , Iteration_time-> 1.5264 , Iteration_loss 0.1084
Iteration-> 262  , Iteration_time-> 1.5130 , Iteration_loss 0.1081
Iteration-> 263  , Iteration_time-> 1.5432 , Iteration_loss 0.1082
Iteration-> 264  , Iteration_time-> 1.5121 , Iteration_loss 0.1081
Iteration-> 265  , Iteration_time-> 1.6448 , Iteration_loss 0.1078
Iteration-> 266  , Iteration_time-> 1.5069 , Iteration_loss 0.1080
Iteration-> 267  , Iteration_time-> 1.5979 , Iteration_loss 0.1080
Iteration-> 268  , Iteration_time-> 1.5247 , Iteration_loss 0.1078
Iteration-> 269  , Iteration_time-> 1.5128 , Iteration_loss 0.1079
Iteration-> 270  , Iteration_time-> 1.5020 , Iteration_loss 0.1077
Iteration-> 271  , Iteration_time-> 1.5764 , Iteration_loss 0.1074
